,,,,,,,,Edition : 12/01/2017
Activité et prix des vins sans IG et des vins IGP Blancs,,,,,,,,
,,Vin sans IG,,,Vin IGP,,,Campagnes
Mois,semaine dans la campagne,en milliers d'hl,en euros/hl,en euros/°hl,en milliers d'hl,en euros/hl,en euros/°hl,
Nov 2008,14,10,53.14,4.62,17,78.83,6.35,
,15,9,55.94,4.77,20,83.78,7.04,
,16,20,56.63,4.93,28,94.54,7.45,
,17,27,58.38,5.01,53,85.64,6.89,
Dec 2008,18,31,49.50,4.36,35,89.71,7.15,
,19,34,62.17,5.46,61,85.21,6.89,
,20,32,60.54,5.24,90,88.46,7.02,
,21,35,56.65,4.93,58,86.71,6.97,
,22,12,67.21,5.53,35,88.28,6.87,
Jan 2009,23,27,66.62,6.06,43,78.05,6.40,
,24,24,66.18,5.52,66,89.15,7.06,
,25,20,60.30,5.30,54,84.74,6.80,
,26,34,62.20,5.37,158,79.75,6.55,
Feb 2009,27,35,53.75,4.66,97,82.76,6.81,
,28,14,59.72,4.94,66,85.52,6.83,
,29,6,59.61,5.22,80,84.01,6.84,
,30,29,67.67,5.89,52,84.06,6.73,
Mar 2009,31,9,59.71,5.13,65,87.94,7.03,
,32,20,62.69,5.47,54,86.92,6.94,
,33,7,57.73,5.19,44,82.57,6.69,
,34,8,60.41,5.06,28,83.95,6.76,
,35,9,66.36,5.79,72,78.52,6.46,
Apr 2009,36,6,58.56,5.33,25,82.57,6.56,
,37,6,57.87,4.94,25,87.33,6.93,
,38,3,60.31,5.05,18,85.65,6.76,
,39,9,54.02,4.64,19,84.31,6.74,
May 2009,40,3,54.79,4.81,18,81.25,6.36,
,41,7,67.23,5.87,13,88.37,6.79,
,42,5,51.74,4.63,20,87.99,6.83,
,43,2,60.87,5.20,12,90.57,7.04,
Jun 2009,44,1,65.49,4.94,8,84.08,6.67,
,45,15,60.18,5.15,20,87.56,7.08,
,46,3,48.40,4.09,23,89.02,7.04,
,47,3,57.80,4.98,13,89.56,7.07,
,48,2,60.07,4.91,11,87.24,6.98,
Jul 2009,49,3,53.88,4.72,19,81.80,6.41,
,50,4,61.29,5.39,19,78.46,6.47,
,51,8,63.13,5.37,11,83.66,6.78,
,52,3,56.19,4.72,15,75.96,6.30,
Aug 2009,1,2,52.92,4.61,16,86.53,6.83,2009-2010
,2,6,65.33,5.53,7,87.33,6.88,
,3,1,66.50,5.77,15,75.29,6.21,
,4,4,57.74,5.01,6,77.36,6.11,
Sep 2009,5,2,59.40,5.05,10,85.66,6.70,
,6,ns,ns,ns,7,85.45,6.82,
,7,1,59.29,5.11,8,91.82,7.33,
,8,7,54.23,4.56,9,92.85,7.23,
,9,4,54.12,4.71,6,84.07,6.83,
Oct 2009,10,2,58.68,5.00,7,84.57,6.67,
,11,2,68.04,5.54,11,85.58,6.70,
,12,7,54.02,4.60,11,91.57,7.40,
,13,9,62.44,5.22,9,87.42,6.91,
Nov 2009,14,5,36.34,3.36,7,92.48,7.25,
,15,44,30.01,2.88,6,76.04,5.91,
,16,21,59.09,5.27,10,82.28,6.72,
,17,29,24.43,2.29,6,74.61,5.86,
Dec 2009,18,25,53.68,4.73,12,78.88,6.44,
,19,27,51.07,4.20,167,87.20,6.81,
,20,51,34.44,3.15,124,87.27,6.80,
,21,56,38.10,3.44,59,84.56,6.60,
,22,26,58.29,4.86,48,79.63,6.45,
Jan 2010,23,5,65.94,5.22,17,82.23,6.40,
,24,16,57.46,4.72,71,74.43,6.10,
,25,6,73.19,5.80,56,88.15,6.85,
,26,23,53.14,4.49,71,81.12,6.56,
Feb 2010,27,6,84.68,6.71,54,86.25,6.69,
,28,66,54.05,4.68,99,76.46,6.29,
